platform,family,phase,ep,eplb,token,sessions,values_us,truth_median_us,truth_mean_us,min_session_us,max_session_us,spread_pct,stability,source_group,truth_method,notes
h20,ordinary_context,context,1,off,2048,3,8333.377;8344.288;8362.240,8344.288,8346.635,8333.377,8362.24,0.35,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,1,off,4096,3,13878.649;13923.701;13936.053,13923.701,13912.801,13878.649,13936.053,0.41,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,1,off,5120,3,16580.069;16597.345;16602.398,16597.345,16593.271,16580.069,16602.398,0.13,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,1,off,8192,3,24841.547;24865.600;24920.872,24865.6,24876.006,24841.547,24920.872,0.32,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,1,off,12288,3,35844.110;35862.445;35955.991,35862.445,35887.515,35844.11,35955.991,0.31,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,1,off,16384,3,46828.370;46846.384;46939.493,46846.384,46871.416,46828.37,46939.493,0.24,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,2,off,1,3,164.256;164.576;164.672,164.576,164.50133333333335,164.256,164.672,0.2527707563678767,stable,aic_covered_context_truth_supplement_20260725,torch_profiler_kernel_external_id_or_existing_mode_parser,AIC-covered truth supplement; wideep_generation token40 excluded because nsys event-node parser produced no valid truth.
h20,ordinary_context,context,2,off,2,3,302.912;304.350;304.993,304.35,304.085,302.912,304.993,0.683752258912442,stable,aic_covered_context_truth_supplement_20260725,torch_profiler_kernel_external_id_or_existing_mode_parser,AIC-covered truth supplement; wideep_generation token40 excluded because nsys event-node parser produced no valid truth.
h20,ordinary_context,context,2,off,4,3,411.136;411.360;412.928,411.36,411.808,411.136,412.928,0.44,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,2,off,8,3,745.439;745.633;747.519,745.633,746.197,745.439,747.519,0.28,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,2,off,16,3,1056.575;1057.732;1058.884,1057.732,1057.7303333333332,1056.575,1058.884,0.2182972624445482,stable,aic_covered_context_truth_supplement_20260725,torch_profiler_kernel_external_id_or_existing_mode_parser,AIC-covered truth supplement; wideep_generation token40 excluded because nsys event-node parser produced no valid truth.
h20,ordinary_context,context,2,off,32,3,1658.246;1659.173;1659.685,1659.173,1659.035,1658.246,1659.685,0.09,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,2,off,64,3,2080.385;2082.976;2085.311,2082.976,2082.891,2080.385,2085.311,0.24,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,2,off,128,3,2485.574;2494.823;2499.270,2494.823,2493.222,2485.574,2499.27,0.55,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,2,off,512,3,2846.729;2846.887;2853.351,2846.887,2848.989,2846.729,2853.351,0.23,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,2,off,640,3,2870.889;2875.978;2876.263,2875.978,2874.377,2870.889,2876.263,0.19,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,2,off,896,3,3017.696;3020.065;3021.121,3020.065,3019.627,3017.696,3021.121,0.11,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,2,off,1536,3,3777.857;3781.186;3785.250,3781.186,3781.431,3777.857,3785.25,0.2,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,2,off,2048,3,4448.048;4453.454;4454.668,4453.454,4452.057,4448.048,4454.668,0.15,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,2,off,4096,3,7476.756;7517.621;7528.441,7517.621,7507.606,7476.756,7528.441,0.69,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,2,off,5120,3,8956.057;8995.004;9011.361,8995.004,8987.474,8956.057,9011.361,0.61,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,2,off,8192,3,13532.552;13573.926;13614.962,13573.926,13573.813,13532.552,13614.962,0.61,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,2,off,12288,3,19110.297;19152.583;19154.719,19152.583,19139.2,19110.297,19154.719,0.23,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,2,off,16384,3,25265.554;25406.178;25436.119,25406.178,25369.284,25265.554,25436.119,0.67,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,2,on,1,3,172.386;172.480;173.057,172.48,172.641,172.38600000000002,173.05700000000002,0.3890306122448935,stable,aic_covered_context_truth_supplement_20260725,torch_profiler_kernel_external_id_or_existing_mode_parser,AIC-covered truth supplement; wideep_generation token40 excluded because nsys event-node parser produced no valid truth.
h20,ordinary_context,context,2,on,2,3,310.240;310.273;310.464,310.273,310.3256666666667,310.24,310.46400000000006,0.0721944867906799,stable,aic_covered_context_truth_supplement_20260725,torch_profiler_kernel_external_id_or_existing_mode_parser,AIC-covered truth supplement; wideep_generation token40 excluded because nsys event-node parser produced no valid truth.
h20,ordinary_context,context,2,on,4,3,418.530;420.191;420.704,420.191,419.808,418.53,420.704,0.52,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,2,on,8,3,751.424;754.175;755.168,754.175,753.589,751.424,755.168,0.5,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,2,on,16,3,1063.940;1064.388;1064.548,1064.388,1064.292,1063.94,1064.548,0.0571220269300243,stable,aic_covered_context_truth_supplement_20260725,torch_profiler_kernel_external_id_or_existing_mode_parser,AIC-covered truth supplement; wideep_generation token40 excluded because nsys event-node parser produced no valid truth.
h20,ordinary_context,context,2,on,32,3,1664.773;1669.829;1677.604,1669.829,1670.735,1664.773,1677.604,0.77,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,2,on,64,3,2086.560;2088.962;2093.055,2088.962,2089.526,2086.56,2093.055,0.31,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,2,on,128,3,2499.272;2499.463;2507.944,2499.463,2502.226,2499.272,2507.944,0.35,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,2,on,512,3,2852.616;2859.146;2866.121,2859.146,2859.294,2852.616,2866.121,0.47,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,2,on,640,3,2887.052;2887.786;2897.608,2887.786,2890.815,2887.052,2897.608,0.37,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,2,on,896,3,3024.329;3028.482;3030.819,3028.482,3027.877,3024.329,3030.819,0.21,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,2,on,1536,3,3787.363;3796.576;3800.419,3796.576,3794.786,3787.363,3800.419,0.34,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,2,on,2048,3,4465.167;4475.215;4478.094,4475.215,4472.825,4465.167,4478.094,0.29,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,2,on,4096,3,7520.248;7533.116;7556.284,7533.116,7536.549,7520.248,7556.284,0.48,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,2,on,5120,3,8971.645;9004.033;9016.387,9004.033,8997.355,8971.645,9016.387,0.5,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,2,on,8192,3,13588.736;13625.555;13647.414,13625.555,13620.568,13588.736,13647.414,0.43,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,2,on,12288,3,19107.896;19200.617;19215.464,19200.617,19174.659,19107.896,19215.464,0.56,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,2,on,16384,3,25340.973;25471.954;25479.168,25471.954,25430.698,25340.973,25479.168,0.54,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,4,off,1,3,126.816;127.296;127.392,127.296,127.168,126.816,127.392,0.4524886877828002,stable,aic_covered_context_truth_supplement_20260725,torch_profiler_kernel_external_id_or_existing_mode_parser,AIC-covered truth supplement; wideep_generation token40 excluded because nsys event-node parser produced no valid truth.
h20,ordinary_context,context,4,off,2,3,206.240;209.920;213.184,209.92,209.7813333333333,206.24,213.184,3.307926829268287,stable,aic_covered_context_truth_supplement_20260725,torch_profiler_kernel_external_id_or_existing_mode_parser,AIC-covered truth supplement; wideep_generation token40 excluded because nsys event-node parser produced no valid truth.
h20,ordinary_context,context,4,off,4,3,306.080;306.464;307.168,306.464,306.571,306.08,307.168,0.36,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,4,off,8,3,436.641;437.536;438.561,437.536,437.579,436.641,438.561,0.44,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,4,off,16,3,632.482;632.640;633.056,632.64,632.726,632.4820000000001,633.056,0.0907309054122337,stable,aic_covered_context_truth_supplement_20260725,torch_profiler_kernel_external_id_or_existing_mode_parser,AIC-covered truth supplement; wideep_generation token40 excluded because nsys event-node parser produced no valid truth.
h20,ordinary_context,context,4,off,32,3,997.665;997.729;997.730,997.729,997.708,997.665,997.73,0.01,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,4,off,64,3,1157.505;1157.988;1160.289,1157.988,1158.594,1157.505,1160.289,0.24,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,4,off,128,3,1344.098;1344.385;1346.018,1344.385,1344.834,1344.098,1346.018,0.14,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,4,off,512,3,1508.353;1510.754;1512.129,1510.754,1510.412,1508.353,1512.129,0.25,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,4,off,640,3,1542.556;1544.802;1546.401,1544.802,1544.586,1542.556,1546.401,0.25,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,4,off,896,3,1674.145;1675.904;1675.938,1675.904,1675.329,1674.145,1675.938,0.11,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,4,off,1536,3,2207.579;2207.899;2212.377,2207.899,2209.285,2207.579,2212.377,0.22,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,4,off,2048,3,2629.977;2634.586;2636.379,2634.586,2633.647,2629.977,2636.379,0.24,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,4,off,4096,3,4396.325;4405.216;4408.390,4405.216,4403.31,4396.325,4408.39,0.27,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,4,off,5120,3,5357.960;5362.020;5362.278,5362.02,5360.753,5357.96,5362.278,0.08,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,4,off,8192,3,8073.581;8076.294;8076.552,8076.294,8075.476,8073.581,8076.552,0.04,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,4,off,12288,3,11679.053;11691.983;11702.285,11691.983,11691.107,11679.053,11702.285,0.2,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,4,off,16384,3,15399.348;15418.647;15437.234,15418.647,15418.41,15399.348,15437.234,0.25,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,4,on,1,3,134.049;134.114;134.528,134.11399999999998,134.23033333333333,134.049,134.528,0.3571588350209412,stable,aic_covered_context_truth_supplement_20260725,torch_profiler_kernel_external_id_or_existing_mode_parser,AIC-covered truth supplement; wideep_generation token40 excluded because nsys event-node parser produced no valid truth.
h20,ordinary_context,context,4,on,2,3,213.888;214.304;217.440,214.304,215.2106666666667,213.888,217.44000000000003,1.6574585635359211,stable,aic_covered_context_truth_supplement_20260725,torch_profiler_kernel_external_id_or_existing_mode_parser,AIC-covered truth supplement; wideep_generation token40 excluded because nsys event-node parser produced no valid truth.
h20,ordinary_context,context,4,on,4,3,311.839;313.184;313.473,313.184,312.832,311.839,313.473,0.52,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,4,on,8,3,443.809;444.321;445.281,444.321,444.47,443.809,445.281,0.33,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,4,on,16,3,638.465;638.849;641.409,638.849,639.5743333333334,638.4649999999999,641.409,0.4608287717441952,stable,aic_covered_context_truth_supplement_20260725,torch_profiler_kernel_external_id_or_existing_mode_parser,AIC-covered truth supplement; wideep_generation token40 excluded because nsys event-node parser produced no valid truth.
h20,ordinary_context,context,4,on,32,3,1003.330;1004.064;1005.505,1004.064,1004.3,1003.33,1005.505,0.22,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,4,on,64,3,1168.289;1168.738;1169.890,1168.738,1168.972,1168.289,1169.89,0.14,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,4,on,128,3,1352.386;1356.224;1357.346,1356.224,1355.319,1352.386,1357.346,0.37,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,4,on,512,3,1520.549;1522.274;1523.491,1522.274,1522.105,1520.549,1523.491,0.19,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,4,on,640,3,1554.625;1556.705;1557.441,1556.705,1556.257,1554.625,1557.441,0.18,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,4,on,896,3,1687.425;1688.931;1689.954,1688.931,1688.77,1687.425,1689.954,0.15,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,4,on,1536,3,2223.066;2224.283;2229.947,2224.283,2225.765,2223.066,2229.947,0.31,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,4,on,2048,3,2631.258;2643.770;2644.889,2643.77,2639.972,2631.258,2644.889,0.52,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,4,on,4096,3,4403.555;4424.292;4431.908,4424.292,4419.918,4403.555,4431.908,0.64,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,4,on,5120,3,5376.071;5376.998;5383.719,5376.998,5378.929,5376.071,5383.719,0.14,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,4,on,8192,3,8072.362;8077.707;8090.407,8077.707,8080.159,8072.362,8090.407,0.22,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,4,on,12288,3,11692.721;11714.480;11716.176,11714.48,11707.792,11692.721,11716.176,0.2,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,4,on,16384,3,15440.855;15449.494;15457.559,15449.494,15449.303,15440.855,15457.559,0.11,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,8,off,1,3,117.633;117.824;118.144,117.824,117.867,117.63300000000002,118.144,0.4336977186311629,stable,aic_covered_context_truth_supplement_20260725,torch_profiler_kernel_external_id_or_existing_mode_parser,AIC-covered truth supplement; wideep_generation token40 excluded because nsys event-node parser produced no valid truth.
h20,ordinary_context,context,8,off,2,3,128.801;129.952;130.176,129.952,129.643,128.801,130.17600000000002,1.0580829844866015,stable,aic_covered_context_truth_supplement_20260725,torch_profiler_kernel_external_id_or_existing_mode_parser,AIC-covered truth supplement; wideep_generation token40 excluded because nsys event-node parser produced no valid truth.
h20,ordinary_context,context,8,off,4,3,217.791;218.336;218.368,218.336,218.165,217.791,218.368,0.26,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,8,off,8,3,279.937;280.385;280.801,280.385,280.374,279.937,280.801,0.31,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,8,off,16,3,385.344;387.873;388.096,387.873,387.1043333333334,385.3440000000001,388.096,0.709510587228267,stable,aic_covered_context_truth_supplement_20260725,torch_profiler_kernel_external_id_or_existing_mode_parser,AIC-covered truth supplement; wideep_generation token40 excluded because nsys event-node parser produced no valid truth.
h20,ordinary_context,context,8,off,32,3,595.457;619.968;622.880,619.968,612.768,595.457,622.88,4.42,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,8,off,64,3,668.640;670.208;670.785,670.208,669.878,668.64,670.785,0.32,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,8,off,128,3,739.138;740.161;743.201,740.161,740.833,739.138,743.201,0.55,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,8,off,512,3,821.185;822.945;823.649,822.945,822.593,821.185,823.649,0.3,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,8,off,640,3,868.705;868.800;871.233,868.8,869.579,868.705,871.233,0.29,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,8,off,896,3,976.350;981.537;984.126,981.537,980.671,976.35,984.126,0.79,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,8,off,1536,3,1352.225;1354.817;1368.065,1354.817,1358.369,1352.225,1368.065,1.17,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,8,off,2048,3,1551.971;1552.291;1552.901,1552.291,1552.388,1551.971,1552.901,0.06,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,8,off,4096,3,2627.779;2636.682;2637.062,2636.682,2633.841,2627.779,2637.062,0.35,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,8,off,5120,3,3239.176;3242.759;3246.469,3242.759,3242.801,3239.176,3246.469,0.22,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,8,off,8192,3,4923.527;4958.793;4959.748,4958.793,4947.356,4923.527,4959.748,0.73,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,8,off,12288,3,7158.320;7197.126;7202.476,7197.126,7185.974,7158.32,7202.476,0.61,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,8,off,16384,3,9459.242;9504.854;9516.536,9504.854,9493.544,9459.242,9516.536,0.6,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,8,on,1,3,124.032;124.449;124.960,124.449,124.48033333333332,124.032,124.96,0.7456869882441781,stable,aic_covered_context_truth_supplement_20260725,torch_profiler_kernel_external_id_or_existing_mode_parser,AIC-covered truth supplement; wideep_generation token40 excluded because nsys event-node parser produced no valid truth.
h20,ordinary_context,context,8,on,2,3,135.968;136.001;136.480,136.001,136.14966666666666,135.968,136.48,0.3764678200895585,stable,aic_covered_context_truth_supplement_20260725,torch_profiler_kernel_external_id_or_existing_mode_parser,AIC-covered truth supplement; wideep_generation token40 excluded because nsys event-node parser produced no valid truth.
h20,ordinary_context,context,8,on,4,3,225.025;225.440;225.728,225.44,225.398,225.025,225.728,0.31,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,8,on,8,3,286.080;287.456;287.553,287.456,287.03,286.08,287.553,0.51,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,8,on,16,3,393.888;394.561;396.865,394.561,395.1046666666666,393.888,396.865,0.7545094421394999,stable,aic_covered_context_truth_supplement_20260725,torch_profiler_kernel_external_id_or_existing_mode_parser,AIC-covered truth supplement; wideep_generation token40 excluded because nsys event-node parser produced no valid truth.
h20,ordinary_context,context,8,on,32,3,630.273;630.624;632.672,630.624,631.19,630.273,632.672,0.38,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,8,on,64,3,678.209;678.466;681.376,678.466,679.35,678.209,681.376,0.47,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,8,on,128,3,751.680;752.001;754.913,752.001,752.865,751.68,754.913,0.43,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,8,on,512,3,834.978;835.809;836.961,835.809,835.916,834.978,836.961,0.24,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
h20,ordinary_context,context,8,on,640,3,877.314;879.522;879.777,879.522,878.871,877.314,879.777,0.28,stable,three_modes_latest_20260723_plus_formal_small_token,torch_profiler_kernel_external_id_or_existing_mode_parser,
