framework,version,device,op_name,kernel_source,allreduce_dtype,num_gpus,message_size,latency,implementation
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,2,16777216,0.055978560447692796,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,2,33554432,0.0840236759185791,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,2,67108864,0.151688003540039,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,2,134217728,0.277295036315918,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,2,268435456,0.5205148696899414,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,2,536870912,0.9643081665039064,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,4,128,0.00221520006656645,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,4,256,0.0044304001331329,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,4,512,0.0044784000515937,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,4,1024,0.0045369601249694,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,4,2048,0.0048876801133155,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,4,4096,0.0046204799413681,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,4,8192,0.0048934400081634,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,4,16384,0.0049347200989723,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,4,32768,0.0047942399978637,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,4,65536,0.0050035202503204,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,4,131072,0.0053475201129913,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,4,262144,0.0059494400024414,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,4,524288,0.0072841602563858,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,4,1048576,0.009472000002861,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,4,2097152,0.0142988801002502,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,4,4194304,0.0230908799171447,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,4,8388608,0.046354241371154695,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,4,16777216,0.0718761587142944,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,4,33554432,0.1227171230316162,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,4,67108864,0.1839910316467285,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,4,134217728,0.3477619171142578,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,4,268435456,0.6702742767333985,trtllm
TRTLLM,1.2.0rc6.post3,NVIDIA VR200,all_reduce,TRTLLM,bfloat16,4,536870912,1.2872589111328123,trtllm
